date,coin,open,high,low,close,volume,tweet_count,avg_score,pct_positive,pct_negative,pct_neutral,sentiment_gap,vader_mean,vader_std,vader_pos_mean,vader_neg_mean,sentiment_7d_avg,sentiment_7d_std,sentiment_momentum,volume_7d_avg,price_return,price_7d_volatility,price_7d_momentum
2020-02-02,BTC,9389.8203125,9468.7978515625,9217.82421875,9344.365234375,30835736946,0,2.5,0.5,0.0,0.5,True,,,,,2.4,0.22360679774998127,0.0,0.42857142857142855,-0.0051645279666768795,0.024447357302723856,0.08695474372026202
2020-02-03,BTC,9344.68359375,9540.3720703125,9248.6337890625,9293.521484375,30934096509,0,,,,,True,,,,,2.4,0.22360679774998127,,0.42857142857142855,-0.005441113304621492,0.022597616838613072,0.04306508740192383
2020-02-04,BTC,9292.841796875,9331.265625,9112.8115234375,9180.962890625,29893183716,1,2.0,0.0,0.0,1.0,False,0.6369,0.0,0.107,0.0,2.3333333333333335,0.25819888974716276,,0.5714285714285714,-0.012111511652417528,0.012231792601500297,-0.01898009808001422
2020-02-05,BTC,9183.416015625,9701.2998046875,9163.7041015625,9613.423828125,35222060874,0,2.0,0.0,0.0,1.0,True,,,,,2.3333333333333335,0.25819888974716276,0.0,0.42857142857142855,0.047104093835473426,0.02232964580452016,0.03185636319631313
2020-02-06,BTC,9617.8212890625,9824.619140625,9539.818359375,9729.8017578125,37628823716,4,2.25,0.25,0.0,0.75,False,0.010050000000000003,0.29294397075208767,0.01475,0.017,2.2916666666666665,0.24579802006254553,0.25,0.7142857142857143,0.012105773319493585,0.02153207232160189,0.02322102770927481
2020-02-07,BTC,9726.0029296875,9834.716796875,9726.0029296875,9795.943359375,34522718159,1,2.0,0.0,0.0,1.0,False,0.4926,0.0,0.096,0.0,2.2083333333333335,0.24579802006254572,-0.25,0.8571428571428571,0.006797836503646293,0.019614464170007465,0.04763517105377768
2020-02-08,BTC,9793.0703125,9876.7490234375,9678.91015625,9865.119140625,35172043762,2,2.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,2.125,0.20916500663352153,0.0,1.1428571428571428,0.007061676319697785,0.019588251748156756,0.050276847144777204
2020-02-09,BTC,9863.89453125,10129.435546875,9850.392578125,10116.673828125,35807884663,1,2.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,2.0416666666666665,0.10206207261597205,0.0,1.2857142857142858,0.02549940694219166,0.019791739247261377,0.08264965831054183
2020-02-10,BTC,10115.5595703125,10165.765625,9784.5634765625,9856.611328125,39386548075,1,3.0,1.0,0.0,0.0,False,0.9816,0.0,0.451,0.0,2.1785714285714284,0.37400662077154884,1.0,1.4285714285714286,-0.025706324471686526,0.023776413825920436,0.060589502557960584
2020-02-11,BTC,9855.8916015625,10210.052734375,9729.3349609375,10208.236328125,37648059389,3,2.6666666666666665,0.6666666666666666,0.0,0.3333333333333333,False,0.2590666666666667,0.4892615387840468,0.053,0.057999999999999996,2.2738095238095237,0.4045867968563441,-0.3333333333333335,1.7142857142857142,0.03567402510806805,0.023672110497734204,0.11189168823991058
2020-02-12,BTC,10202.3876953125,10393.611328125,10202.3876953125,10326.0546875,43444303830,1,3.0,1.0,0.0,0.0,False,0.7096,0.0,0.158,0.032,2.416666666666667,0.4639803635691685,0.3333333333333335,1.8571428571428572,0.011541499979814906,0.019143160022291297,0.07412872584376551
2020-02-13,BTC,10323.9609375,10457.626953125,10116.1611328125,10214.3798828125,49356071373,0,3.0,1.0,0.0,0.0,True,,,,,2.523809523809524,0.5039526306789693,0.0,1.2857142857142858,-0.010814856987217514,0.020704315084090413,0.04980349415761842
2020-02-14,BTC,10211.55078125,10321.99609375,10125.5341796875,10312.1162109375,43338264162,0,3.0,1.0,0.0,0.0,True,,,,,2.666666666666667,0.47140452079103096,0.0,1.1428571428571428,0.009568503349817403,0.020722925622649522,0.05269251083087445
2020-02-15,BTC,10313.8564453125,10341.5556640625,9874.427734375,9889.4248046875,43865054831,1,2.0,0.0,0.0,1.0,False,-0.8439,0.0,0.0,0.202,2.666666666666667,0.47140452079103096,-1.0,1.0,-0.0409897830477971,0.027695676802081418,0.00246379832985566
2020-02-16,BTC,9889.1796875,10053.96875,9722.38671875,9934.43359375,43374780305,1,2.0,0.0,0.0,1.0,False,0.3612,0.0,0.075,0.0,2.666666666666667,0.47140452079103096,0.0,1.0,0.004551203932625647,0.025621187129099686,-0.018013848965690693
2020-02-17,BTC,9936.560546875,9938.8154296875,9507.6376953125,9690.142578125,45998298413,0,2.0,0.0,0.0,1.0,True,,,,,2.523809523809524,0.5039526306789693,0.0,0.8571428571428571,-0.024590331529186438,0.025454274236290726,-0.01688904476987907
2020-02-18,BTC,9691.23046875,10161.935546875,9632.3828125,10141.99609375,47271023953,1,3.0,1.0,0.0,0.0,False,0.5346,0.0,0.143,0.048,2.5714285714285716,0.5345224838248483,1.0,0.5714285714285714,0.0466302236506857,0.028340947895760398,-0.006488900946826637
